[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /Users/allat/Documents/github/PyProg-2018
[NotebookApp | INFO] 0 active kernels
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://localhost:8890/?token=f060dac64463864ac4de683c517643db53e1dc7384f10fed
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    Copy/paste this URL into your browser when you connect for the first time,
    to login with a token:
        http://localhost:8890/?token=f060dac64463864ac4de683c517643db53e1dc7384f10fed&token=f060dac64463864ac4de683c517643db53e1dc7384f10fed
[NotebookApp | INFO] Accepting one-time-token-authenticated connection from ::1
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Kernel started: 214e61ea-d3be-4c78-ab32-f8d8640600df
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 214e61ea-d3be-4c78-ab32-f8d8640600df
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Kernel interrupted: 214e61ea-d3be-4c78-ab32-f8d8640600df
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Saving file at /10-09/sem-06-04-solutions.ipynb
[NotebookApp | WARNING] Notebook 10-09/sem-06-04-solutions.ipynb is not trusted
[NotebookApp | INFO] Starting buffering for 214e61ea-d3be-4c78-ab32-f8d8640600df:7e3258cb0fb64adc8a0aefbbe3153a07
